FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
26811,2021,NOVIEMBRE,2021-11-23,MARTES,14:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y SAN NICOLAS,"25.722816,-100.293582"
23040,2021,AGOSTO,2021-08-01,DOMINGO,18:43:00,ALCANCE,FINIQUITADO,911,COLONIA,PEDREGAL SANTO DOMINGO,AVENIDA,ROBERTO ESPINOZA Y ATENEDORO COLUNGA,"25.733013,-100.268081"
26767,2021,NOVIEMBRE,2021-11-23,MARTES,15:26:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,MIGUEL ALEMAN,AVENIDA,MIUEL ALEMAN Y UNION,"25.714658,-100.21943"
23467,2021,AGOSTO,2021-08-02,LUNES,06:55:00,ALCANCE,FINIQUITADO,C4,COLONIA,LA FE,AVENIDA,ACAPULCO Y MIGUEL ALEMAN,"25.72448,-100.214115"
26877,2021,NOVIEMBRE,2021-11-23,MARTES,15:57:00,ALCANCE/PROYECCION MULTIPLE,FINIQUITADO,RUTINA,COLONIA,ROBLE NORTE,AVENIDA,BARRAGAN Y BARTOLOME,"25.742423,-100.312169"
22298,2021,AGOSTO,2021-08-02,LUNES,09:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
25097,2021,NOVIEMBRE,2021-11-23,MARTES,16:16:00,ESTRELLAMIENTO,PERITAJES,RUTINA,RESIDENCIAL,RESIDENCIAL ANAHUAC,AVENIDA,BARRAGAN Y ALMAZAN,"25.737044,-100.314276"
23468,2021,AGOSTO,2021-08-02,LUNES,08:51:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CORRAL DE PIEDRA,AVENIDA,ROMULO GARZA Y JUAN PABLO II,"25.710516,-100.264117"
27251,2021,NOVIEMBRE,2021-11-23,MARTES,16:45:00,MOVIL DE VEHICULO,FINIQUITADO,RUTINA,COLONIA,CHAPULTEPEC,AVENIDA,UNIVERSIDAD Y CENTRAL,"25.740168,-100.302396"
23711,2021,AGOSTO,2021-08-02,LUNES,09:23:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
